count,mean,std,min,25%,50%,75%,max,count_missing
4958347.0,166366.56,96112.23,1.0,82936.0,166507.0,249724.0,332785.0,0.0
4958347.0,9.95,7.65,1.0,5.0,5.0,14.0,34.0,0.0
4958347.0,175.34,65.92,1.0,100.0,219.0,219.0,231.0,0.0
251866.0,3.37,0.69,1.41,2.92,3.45,3.93,5.0,4706481.0
252988.0,176.02,107.25,0.0,109.81,152.24,213.49,1958.7,4705359.0
4958347.0,173.97,68.35,1.0,100.0,219.0,219.0,230.0,0.0
4958347.0,70079.18,40609.92,1.0,35010.0,69638.0,105168.0,140821.0,0.0
4958347.0,3.18,1.05,0.0,3.0,3.0,4.0,5.0,0.0
4950983.0,3.78,1.05,0.0,3.5,4.0,4.5,5.0,7364.0
4958347.0,0.63,0.48,0.0,0.0,1.0,1.0,1.0,0.0
4958347.0,2.87,1.53,0.0,1.79,2.77,4.04,6.98,0.0
3867999.0,0.13,0.16,0.0,0.02,0.07,0.18,1.0,1090348.0
4958347.0,4.32,1.83,0.0,4.45,4.91,5.31,6.21,0.0
4958347.0,16.86,10.43,1.0,8.0,16.0,26.0,40.0,0.0
4958347.0,254.21,16001.24,0.0,85.0,122.0,184.96,19726328.0,0.0
4958347.0,0.22,0.41,0.0,0.0,0.0,0.0,1.0,0.0
4958347.0,14042.63,8111.84,2.0,7101.0,13541.0,21084.0,28416.0,0.0
4958347.0,2.39,2.05,1.0,1.0,2.0,3.0,57.0,0.0
4958347.0,37.47,51.99,0.0,4.0,17.0,48.0,492.0,0.0
4958347.0,1.97,0.86,1.0,2.0,2.0,2.0,9.0,0.0
4958347.0,0.35,0.73,0.0,0.0,0.0,0.0,9.0,0.0
4958347.0,1.11,0.42,1.0,1.0,1.0,1.0,8.0,0.0
4958347.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,0.0
317406.0,-24.15,15.74,-326.57,-30.77,-20.45,-13.35,-2.49,4640941.0
3350565.0,1301.23,2023.95,0.01,139.8,386.6,1500.67,11666.64,1607782.0
4958347.0,0.3,0.46,0.0,0.0,0.0,1.0,1.0,0.0
119930.0,0.48,0.64,-1.0,0.0,1.0,1.0,1.0,4838417.0
129559.0,0.03,0.23,-1.0,0.0,0.0,0.0,1.0,4828788.0
94439.0,244.23,1165.45,2.0,7.0,10.0,16.0,30389.0,4863908.0
2024672.0,0.04,0.45,-1.0,0.0,0.0,0.0,1.0,2933675.0
2130269.0,0.04,0.23,-1.0,0.0,0.0,0.0,1.0,2828078.0
556238.0,18.49,240.11,2.0,7.0,11.0,20.0,168893.0,4402109.0
1534288.0,0.02,0.46,-1.0,0.0,0.0,0.0,1.0,3424059.0
1650990.0,0.06,0.29,-1.0,0.0,0.0,0.0,1.0,3307357.0
472797.0,27.07,1012.92,2.0,7.0,11.0,18.0,199266.0,4485550.0
307378.0,-0.02,0.58,-1.0,0.0,0.0,0.0,1.0,4650969.0
343663.0,0.1,0.34,-1.0,0.0,0.0,0.0,1.0,4614684.0
131086.0,175.32,5757.74,2.0,7.0,11.0,19.0,1001584.0,4827261.0
2222373.0,0.02,0.52,-1.0,0.0,0.0,0.0,1.0,2735974.0
2360020.0,0.05,0.27,-1.0,0.0,0.0,0.0,1.0,2598327.0
841099.0,29.85,1340.26,2.0,7.0,12.0,21.0,607561.0,4117248.0
240157.0,0.13,0.56,-1.0,0.0,0.0,0.0,1.0,4718190.0
260976.0,0.08,0.3,-1.0,0.0,0.0,0.0,1.0,4697371.0
96174.0,17.25,31.16,2.0,6.0,11.0,18.0,1620.0,4862173.0
315348.0,0.15,0.58,-1.0,0.0,0.0,1.0,1.0,4642999.0
356422.0,0.08,0.32,-1.0,0.0,0.0,0.0,1.0,4601925.0
138515.0,19.43,54.37,2.0,7.0,12.0,20.0,9900.0,4819832.0
1916654.0,-0.06,0.47,-1.0,0.0,0.0,0.0,1.0,3041693.0
1987503.0,0.01,0.2,-1.0,0.0,0.0,0.0,1.0,2970844.0
614730.0,22.43,895.97,2.0,7.0,11.0,17.0,149400.0,4343617.0
4958347.0,0.04,0.21,0.0,0.0,0.0,0.0,1.0,0.0
138390.0,386.28,821.19,0.0,124.0,218.4,429.79,159292.38,4819957.0
4958347.0,0.03,0.16,0.0,0.0,0.0,0.0,1.0,0.0
