,count,mean,std,min,25%,50%,75%,max,count_missing
srch_id,4958347.0,166366.56,96112.23,1.0,82936.0,166507.0,249724.0,332785.0,0.0
site_id,4958347.0,9.95,7.65,1.0,5.0,5.0,14.0,34.0,0.0
visitor_location_country_id,4958347.0,175.34,65.92,1.0,100.0,219.0,219.0,231.0,0.0
visitor_hist_starrating,251866.0,3.37,0.69,1.41,2.92,3.45,3.93,5.0,4706481.0
visitor_hist_adr_usd,252988.0,176.02,107.25,0.0,109.81,152.24,213.49,1958.7,4705359.0
prop_country_id,4958347.0,173.97,68.35,1.0,100.0,219.0,219.0,230.0,0.0
prop_id,4958347.0,70079.18,40609.92,1.0,35010.0,69638.0,105168.0,140821.0,0.0
prop_starrating,4958347.0,3.18,1.05,0.0,3.0,3.0,4.0,5.0,0.0
prop_review_score,4950983.0,3.78,1.05,0.0,3.5,4.0,4.5,5.0,7364.0
prop_brand_bool,4958347.0,0.63,0.48,0.0,0.0,1.0,1.0,1.0,0.0
prop_location_score1,4958347.0,2.87,1.53,0.0,1.79,2.77,4.04,6.98,0.0
prop_location_score2,3867999.0,0.13,0.16,0.0,0.02,0.07,0.18,1.0,1090348.0
prop_log_historical_price,4958347.0,4.32,1.83,0.0,4.45,4.91,5.31,6.21,0.0
position,4958347.0,16.86,10.43,1.0,8.0,16.0,26.0,40.0,0.0
price_usd,4958347.0,254.21,16001.24,0.0,85.0,122.0,184.96,19726328.0,0.0
promotion_flag,4958347.0,0.22,0.41,0.0,0.0,0.0,0.0,1.0,0.0
srch_destination_id,4958347.0,14042.63,8111.84,2.0,7101.0,13541.0,21084.0,28416.0,0.0
srch_length_of_stay,4958347.0,2.39,2.05,1.0,1.0,2.0,3.0,57.0,0.0
srch_booking_window,4958347.0,37.47,51.99,0.0,4.0,17.0,48.0,492.0,0.0
srch_adults_count,4958347.0,1.97,0.86,1.0,2.0,2.0,2.0,9.0,0.0
srch_children_count,4958347.0,0.35,0.73,0.0,0.0,0.0,0.0,9.0,0.0
srch_room_count,4958347.0,1.11,0.42,1.0,1.0,1.0,1.0,8.0,0.0
srch_saturday_night_bool,4958347.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,0.0
srch_query_affinity_score,317406.0,-24.15,15.74,-326.57,-30.77,-20.45,-13.35,-2.49,4640941.0
orig_destination_distance,3350565.0,1301.23,2023.95,0.01,139.8,386.6,1500.67,11666.64,1607782.0
random_bool,4958347.0,0.3,0.46,0.0,0.0,0.0,1.0,1.0,0.0
comp1_rate,119930.0,0.48,0.64,-1.0,0.0,1.0,1.0,1.0,4838417.0
comp1_inv,129559.0,0.03,0.23,-1.0,0.0,0.0,0.0,1.0,4828788.0
comp1_rate_percent_diff,94439.0,244.23,1165.45,2.0,7.0,10.0,16.0,30389.0,4863908.0
comp2_rate,2024672.0,0.04,0.45,-1.0,0.0,0.0,0.0,1.0,2933675.0
comp2_inv,2130269.0,0.04,0.23,-1.0,0.0,0.0,0.0,1.0,2828078.0
comp2_rate_percent_diff,556238.0,18.49,240.11,2.0,7.0,11.0,20.0,168893.0,4402109.0
comp3_rate,1534288.0,0.02,0.46,-1.0,0.0,0.0,0.0,1.0,3424059.0
comp3_inv,1650990.0,0.06,0.29,-1.0,0.0,0.0,0.0,1.0,3307357.0
comp3_rate_percent_diff,472797.0,27.07,1012.92,2.0,7.0,11.0,18.0,199266.0,4485550.0
comp4_rate,307378.0,-0.02,0.58,-1.0,0.0,0.0,0.0,1.0,4650969.0
comp4_inv,343663.0,0.1,0.34,-1.0,0.0,0.0,0.0,1.0,4614684.0
comp4_rate_percent_diff,131086.0,175.32,5757.74,2.0,7.0,11.0,19.0,1001584.0,4827261.0
comp5_rate,2222373.0,0.02,0.52,-1.0,0.0,0.0,0.0,1.0,2735974.0
comp5_inv,2360020.0,0.05,0.27,-1.0,0.0,0.0,0.0,1.0,2598327.0
comp5_rate_percent_diff,841099.0,29.85,1340.26,2.0,7.0,12.0,21.0,607561.0,4117248.0
comp6_rate,240157.0,0.13,0.56,-1.0,0.0,0.0,0.0,1.0,4718190.0
comp6_inv,260976.0,0.08,0.3,-1.0,0.0,0.0,0.0,1.0,4697371.0
comp6_rate_percent_diff,96174.0,17.25,31.16,2.0,6.0,11.0,18.0,1620.0,4862173.0
comp7_rate,315348.0,0.15,0.58,-1.0,0.0,0.0,1.0,1.0,4642999.0
comp7_inv,356422.0,0.08,0.32,-1.0,0.0,0.0,0.0,1.0,4601925.0
comp7_rate_percent_diff,138515.0,19.43,54.37,2.0,7.0,12.0,20.0,9900.0,4819832.0
comp8_rate,1916654.0,-0.06,0.47,-1.0,0.0,0.0,0.0,1.0,3041693.0
comp8_inv,1987503.0,0.01,0.2,-1.0,0.0,0.0,0.0,1.0,2970844.0
comp8_rate_percent_diff,614730.0,22.43,895.97,2.0,7.0,11.0,17.0,149400.0,4343617.0
click_bool,4958347.0,0.04,0.21,0.0,0.0,0.0,0.0,1.0,0.0
gross_bookings_usd,138390.0,386.28,821.19,0.0,124.0,218.4,429.79,159292.38,4819957.0
booking_bool,4958347.0,0.03,0.16,0.0,0.0,0.0,0.0,1.0,0.0
