,count,mean,std,min,25%,50%,75%,max,unique,top,freq
srch_id,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,
date_time,20,,,,,,,,1,2013-04-04 08:32:15,20
site_id,20.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,,,
visitor_location_country_id,20.0,187.0,0.0,187.0,187.0,187.0,187.0,187.0,,,
visitor_hist_starrating,0.0,,,,,,,,,,
visitor_hist_adr_usd,0.0,,,,,,,,,,
prop_country_id,20.0,219.0,0.0,219.0,219.0,219.0,219.0,219.0,,,
prop_id,20.0,55398.0,28027.532816669285,893.0,30039.0,58073.5,82509.75,89073.0,,,
prop_starrating,20.0,3.2,0.7677718959499145,2.0,3.0,3.0,4.0,4.0,,,
prop_review_score,20.0,3.4,1.2523661815266247,0.0,3.375,3.75,4.0,4.5,,,
prop_brand_bool,20.0,0.9,0.30779350562554625,0.0,1.0,1.0,1.0,1.0,,,
prop_location_score1,20.0,2.3470000000000004,0.43016643046004516,1.39,2.2,2.25,2.77,2.94,,,
prop_location_score2,18.0,0.05722777777777778,0.04968849796547849,0.0038,0.015125,0.03665,0.11854999999999999,0.1302,,,
prop_log_historical_price,20.0,4.890000000000001,0.3066628527604182,4.14,4.795,4.965,5.0975,5.28,,,
position,20.0,17.9,11.149227020645634,2.0,7.75,18.5,26.25,36.0,,,
price_usd,20.0,174.10399999999998,111.51611643732559,85.37,112.5325,146.815,190.46499999999997,602.77,,,
promotion_flag,20.0,0.05,0.22360679774997894,0.0,0.0,0.0,0.0,1.0,,,
srch_destination_id,20.0,23246.0,0.0,23246.0,23246.0,23246.0,23246.0,23246.0,,,
srch_length_of_stay,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,
srch_booking_window,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
srch_adults_count,20.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,,,
srch_children_count,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
srch_room_count,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,
srch_saturday_night_bool,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,
srch_query_affinity_score,0.0,,,,,,,,,,
orig_destination_distance,0.0,,,,,,,,,,
random_bool,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,
comp1_rate,0.0,,,,,,,,,,
comp1_inv,0.0,,,,,,,,,,
comp1_rate_percent_diff,0.0,,,,,,,,,,
comp2_rate,16.0,0.0,0.3651483716701107,-1.0,0.0,0.0,0.0,1.0,,,
comp2_inv,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
comp2_rate_percent_diff,4.0,8.0,3.4641016151377544,5.0,5.0,8.0,11.0,11.0,,,
comp3_rate,19.0,-0.10526315789473684,0.3153017676423057,-1.0,0.0,0.0,0.0,0.0,,,
comp3_inv,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
comp3_rate_percent_diff,6.0,5.833333333333333,1.3291601358251257,5.0,5.0,5.0,6.5,8.0,,,
comp4_rate,0.0,,,,,,,,,,
comp4_inv,0.0,,,,,,,,,,
comp4_rate_percent_diff,0.0,,,,,,,,,,
comp5_rate,14.0,0.14285714285714285,0.3631365196012815,0.0,0.0,0.0,0.0,1.0,,,
comp5_inv,14.0,-0.07142857142857142,0.615727926214882,-1.0,0.0,0.0,0.0,1.0,,,
comp5_rate_percent_diff,2.0,9.5,6.363961030678928,5.0,7.25,9.5,11.75,14.0,,,
comp6_rate,0.0,,,,,,,,,,
comp6_inv,0.0,,,,,,,,,,
comp6_rate_percent_diff,0.0,,,,,,,,,,
comp7_rate,0.0,,,,,,,,,,
comp7_inv,0.0,,,,,,,,,,
comp7_rate_percent_diff,0.0,,,,,,,,,,
comp8_rate,19.0,0.0,0.3333333333333333,-1.0,0.0,0.0,0.0,1.0,,,
comp8_inv,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
comp8_rate_percent_diff,7.0,11.428571428571429,9.378293072429596,5.0,5.5,7.0,13.0,31.0,,,
click_bool,20.0,0.05,0.22360679774997894,0.0,0.0,0.0,0.0,1.0,,,
gross_bookings_usd,1.0,114.29,,114.29,114.29,114.29,114.29,114.29,,,
booking_bool,20.0,0.05,0.22360679774997894,0.0,0.0,0.0,0.0,1.0,,,
