,count,mean,std,min,25%,50%,75%,max,unique,top,freq
srch_id,4958347,166366.5611,96112.2301,1,82936,166507,249724,332785,,,
date_time,4958347,,,,,,,,198615,02/11/2012 14:04,95
site_id,4958347,9.953133373,7.646889727,1,5,5,14,34,,,
visitor_location_country_id,4958347,175.3404532,65.91624935,1,100,219,219,231,,,
visitor_hist_starrating,251866,3.374334051,0.692518551,1.41,2.92,3.45,3.93,5,,,
visitor_hist_adr_usd,252988,176.0226591,107.2544928,0,109.81,152.24,213.49,1958.7,,,
prop_country_id,4958347,173.9738967,68.34524799,1,100,219,219,230,,,
prop_id,4958347,70079.1795,40609.92038,1,35010,69638,105168,140821,,,
prop_starrating,4958347,3.180525486,1.051023626,0,3,3,4,5,,,
prop_review_score,4950983,3.777776757,1.050328634,0,3.5,4,4.5,5,,,
prop_brand_bool,4958347,0.634699427,0.481514393,0,0,1,1,1,,,
prop_location_score1,4958347,2.872588599,1.531011116,0,1.79,2.77,4.04,6.98,,,
prop_location_score2,3867999,0.130385168,0.159463425,0,0.019,0.069,0.1805,1,,,
prop_log_historical_price,4958347,4.317913317,1.834868901,0,4.45,4.91,5.31,6.21,,,
position,4958347,16.85623636,10.42565515,1,8,16,26,40,,,
price_usd,4958347,254.2095899,16001.23706,0,85,122,184.96,19726328,,,
promotion_flag,4958347,0.215619843,0.411251699,0,0,0,0,1,,,
srch_destination_id,4958347,14042.63039,8111.843351,2,7101,13541,21084,28416,,,
srch_length_of_stay,4958347,2.385427442,2.053242917,1,1,2,3,57,,,
srch_booking_window,4958347,37.47416508,51.99341104,0,4,17,48,492,,,
srch_adults_count,4958347,1.972637252,0.857062752,1,2,2,2,9,,,
srch_children_count,4958347,0.350491807,0.732569211,0,0,0,0,9,,,
srch_room_count,4958347,1.110524939,0.417228988,1,1,1,1,8,,,
srch_saturday_night_bool,4958347,0.502212733,0.499995154,0,0,1,1,1,,,
srch_query_affinity_score,317406,-24.14641826,15.7432383,-326.5675,-30.774775,-20.4513,-13.350625,-2.4941,,,
orig_destination_distance,3350565,1301.234406,2023.951353,0.01,139.8,386.6,1500.67,11666.64,,,
random_bool,4958347,0.295900428,0.456446499,0,0,0,1,1,,,
comp1_rate,119930,0.47978821,0.641565343,-1,0,1,1,1,,,
comp1_inv,129559,0.031059209,0.229687682,-1,0,0,0,1,,,
comp1_rate_percent_diff,94439,244.2299156,1165.448634,2,7,10,16,30389,,,
comp2_rate,2024672,0.044189874,0.44842357,-1,0,0,0,1,,,
comp2_inv,2130269,0.039310059,0.234238785,-1,0,0,0,1,,,
comp2_rate_percent_diff,556238,18.49073238,240.1138508,2,7,11,20,168893,,,
comp3_rate,1534288,0.017290105,0.457580819,-1,0,0,0,1,,,
comp3_inv,1650990,0.057768975,0.294820195,-1,0,0,0,1,,,
comp3_rate_percent_diff,472797,27.07155925,1012.919911,2,7,11,18,199266,,,
comp4_rate,307378,-0.016543149,0.578717597,-1,0,0,0,1,,,
comp4_inv,343663,0.096652826,0.337165009,-1,0,0,0,1,,,
comp4_rate_percent_diff,131086,175.3165327,5757.739837,2,7,11,19,1001584,,,
comp5_rate,2222373,0.022676211,0.521757469,-1,0,0,0,1,,,
comp5_inv,2360020,0.051428801,0.267836252,-1,0,0,0,1,,,
comp5_rate_percent_diff,841099,29.85190328,1340.262382,2,7,12,21,607561,,,
comp6_rate,240157,0.128328552,0.55984056,-1,0,0,0,1,,,
comp6_inv,260976,0.075957176,0.302667522,-1,0,0,0,1,,,
comp6_rate_percent_diff,96174,17.2504731,31.16031303,2,6,11,18,1620,,,
comp7_rate,315348,0.145968898,0.578201639,-1,0,0,1,1,,,
comp7_inv,356422,0.083201935,0.316722218,-1,0,0,0,1,,,
comp7_rate_percent_diff,138515,19.43326716,54.37022081,2,7,12,20,9900,,,
comp8_rate,1916654,-0.060899359,0.469172251,-1,0,0,0,1,,,
comp8_inv,1987503,0.009962752,0.202914172,-1,0,0,0,1,,,
comp8_rate_percent_diff,614730,22.43038407,895.9658543,2,7,11,17,149400,,,
click_bool,4958347,0.044748583,0.206751434,0,0,0,0,1,,,
gross_bookings_usd,138390,386.2833159,821.190577,0,124,218.4,429.79,159292.38,,,
booking_bool,4958347,0.027910511,0.164716484,0,0,0,0,1,,,
